participant,word,word_class,icon,rt_z,icon_z,quantile,rt,acc
106,tegaruna,Adj,0.8,1.0156771365864197,-1.3077249320401696,1,4.1672,1
106,karari,Mim,0.428571429,-0.060388534621503676,-1.7606879527889372,1,2.1904,1
106,tsuratsura,Mim,1,0.8903139617183577,-1.063821766740176,1,3.9369,0
106,kitanai,Adj,1.909090909,-0.09223284955759407,0.04482898451256741,3,2.1319,1
106,kasaneru,Verb,3.3,2.979845368789753,1.7410646342097533,5,7.7755,0
106,hanashi,Noun,1.05,-0.19484230879610753,-1.0028459754151773,1,1.9434,0
106,yobu,Verb,0.416666667,-0.0014357259449464138,-1.7752059984586528,1,2.2987,0
106,kotoba,Noun,2.727272727,1.0098526208630665,1.0426146605180848,5,4.1565,0
106,gakun,Mim,1.928571429,-0.10562379224866797,0.06858578696101672,3,2.1073,0
106,mijikana,Adj,0.833333333,0.782696507652288,-1.2670744048966758,1,3.7392,1
106,matsuri,Noun,2,1.254645585423064,0.15569405975979345,3,4.6062,0
106,pikari,Mim,1.2,0.0995951262283592,-0.819918601440182,2,2.4843,0
106,yutakana,Adj,2.076923077,1.0526383158028392,0.24950296958436924,3,4.2351,1
106,yuku,Verb,0.818181818,-0.48639470332209084,-1.2855519172346277,1,1.4078,1
106,gusha,Mim,2.75,1.83497420342932,1.0703309296347705,5,5.6723,0
106,kuchi,Noun,2.2,-0.2535229438407323,0.3995972250597875,4,1.8356,1
106,nemui,Adj,3.583333333,-0.05146123949412108,2.08659411797824,5,2.2068,1
106,hayamena,Adj,0.083333333,0.5699111622075405,-2.181711274771653,1,3.3483,1
106,katsukatsu,Mim,1.333333333,0.3594120752710248,-0.6573164916466915,2,2.9616,0
106,takumina,Adj,0.944444444,0.6979960733949264,-1.1315726465321811,1,3.5836,0
106,tsuma,Noun,0.65,1.0621099581940867,-1.490652306015165,1,4.2525,1
106,futsufutsu,Mim,3.2,1.2212770981481522,1.6191130515597567,5,4.5449,1
106,hiratai,Adj,2.909090909,0.1027523403587749,1.264344811012537,5,2.4901,0
106,haha,Noun,2.357142857,1.0755009008851604,0.5912354261927087,4,4.2771,1
106,moji,Noun,2.642857143,0.32168880988519477,0.9396685198268475,5,2.8923,1
106,hirogeru,Verb,2.692307692,0.6107372069973999,0.9999742469614596,5,3.4233,0
106,chikaku,Noun,2.769230769,1.2314563919824237,1.0937831567860354,5,4.5636,0
