session,group,date,expName,psychopyVersion,OS,frameRate,participant,expt,status,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,WordClass,Definition,Target,Foil,TargetPositionX,TargetPositionY,FoilPositionX,FoilPositionY,TargetTime,FoilTime,CorrectKey,textbox.text,enter.keys,enter.rt,textbox_2.text,enter_2.keys,enter_2.rt,textbox_3.text,enter_3.keys,enter_3.rt,textbox_4.text,enter_4.keys,enter_4.rt,slider.response,slider.rt,key_resp_4.keys,key_resp_4.rt,slider_2.response,slider_2.rt,key_resp_5.keys,key_resp_5.rt
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,0.9533,0,48,48,48,1,pekon,Mim,bowing lightly and casually,030-pekon.mp3,042-burari.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,0.9814,0,49,49,49,1,pikari,Mim,"with a flash, brightly, dazzlingly",031-pikari.mp3,033-katsukatsu.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,,,,,,,,,,,,,,,,,,,,32,right,3.6356,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,female,right,3.1367,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urdu,right,1.3034,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,english,right,8.1809,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.0797,right,4.3011,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.8026,right,0.6339
﻿session,group,date,expName,psychopyVersion,OS,frameRate,participant,expt,status,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,WordClass,Definition,Target,Foil,TargetPositionX,TargetPositionY,FoilPositionX,FoilPositionY,TargetTime,FoilTime,CorrectKey,textbox.text,enter.keys,enter.rt,textbox_2.text,enter_2.keys,enter_2.rt,textbox_3.text,enter_3.keys,enter_3.rt,textbox_4.text,enter_4.keys,enter_4.rt,slider.response,slider.rt,key_resp_4.keys,key_resp_4.rt,slider_2.response,slider_2.rt,key_resp_5.keys,key_resp_5.rt
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,s,20.0312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,s,24.9336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,s,5.1555,0,0,0,0,1,Left,AttentionCheck,to compare,Check_Left.mp3,silence.mp3,-0.3,0,0.3,0,0.5,10,s,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,k,4.0951,0,1,1,1,1,hikari,Noun,light,069-hikari.mp3,066-nakama.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,s,2.0427,0,2,2,2,1,takumina,Adj,skillful,004-takumina.mp3,024-nemui.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,s,2.5455,0,3,3,3,1,mitsumeru,Verb,to stare,088-mitsumeru.mp3,080-tomonau.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,k,2.2145,0,4,4,4,1,tsuyoi,Adj,strong,018-tsuyoi.mp3,017-kimazui.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,k,1.6977,0,5,5,5,1,kotoba,Noun,word,072-kotoba.mp3,058-jimoto.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,s,1.7005,0,6,6,6,1,garan,Mim,empty,038-garan.mp3,050-funyafunya.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,k,1.1665,0,7,7,7,1,nukeru,Verb,to escape,086-nukeru.mp3,096-sadameru.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,k,1.0957,0,8,8,8,1,tochi,Noun,land,056-tochi.mp3,060-mizu.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,k,1.9688,0,9,9,9,1,kuchi,Noun,mouth,067-kuchi.mp3,051-tegami.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,s,1.1346,0,10,10,10,1,gusha,Mim,sound of something being squashed,046-gusha.mp3,049-gatan.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,s,0.7645,0,11,11,11,1,furui,Adj,old,013-furui.mp3,009-nigatena.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,k,1.2109,0,12,12,12,1,kiyoi,Adj,pure,020-kiyoi.mp3,011-toboshii.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,k,2.1022,0,13,13,13,1,mamoru,Verb,to protect,098-mamoru.mp3,085-wasureru.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,k,1.5649,0,14,14,14,1,marena,Adj,rare,005-marena.mp3,010-majimena.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,s,1.9452,0,15,15,15,1,katsukatsu,Mim,"barely, scraping by",033-katsukatsu.mp3,032-buwabuwa.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,s,2.0792,0,16,16,16,1,noru,Verb,to get on,093-noru.mp3,078-noberu.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,s,1.4478,0,17,17,17,1,haha,Noun,mother,070-haha.mp3,074-hana.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,k,1.2017,0,18,18,18,1,kurai,Adj,dark,016-kurai.mp3,002-tegaruna.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,s,1.6136,0,19,19,19,1,chirochiro,Mim,"flicker of light, trickle of water",041-chirochiro.mp3,044-shobon.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,s,1.6127,0,20,20,20,1,hayamena,Adj,early,001-hayamena.mp3,007-hitoshii.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69301,43,2023-10-27_11h57.21.184,V2_E2,2022.2.5,Win32,59.78715772,102,283,pilot,,,,,k,1.6578,0,21,21,21,1,moji,Noun,letter (as in alphabet),071-moji.mp3,061-kagiri.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
