session,group,date,expName,psychopyVersion,OS,frameRate,participant,expt,status,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,WordClass,FilePath,Target,Foil,TargetPositionX,TargetPositionY,FoilPositionX,FoilPositionY,CorrectKey,textbox.text,enter.keys,enter.rt,textbox_2.text,enter_2.keys,enter_2.rt,textbox_3.text,enter_3.keys,enter_3.rt,textbox_4.text,enter_4.keys,enter_4.rt,slider.response,slider.rt,key_resp_3.keys,key_resp_3.rt,slider_2.response,slider_2.rt,key_resp_4.keys,key_resp_4.rt
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,k,1,2.4086,0,49,49,49,1,takumina,Adj,004-takumina.mp3,skillful,flat,0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,,,,,,,,,,,,,,,,,,,42,right,2.0132,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,,,,,,,,,,,,,,,,,,,,,,male,right,4.429,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,english,right,4.8153,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,right,3.1132,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.649,right,2.4942,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.3302,right,1.6718
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿session,group,date,expName,psychopyVersion,OS,frameRate,participant,expt,status,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,WordClass,FilePath,Target,Foil,TargetPositionX,TargetPositionY,FoilPositionX,FoilPositionY,CorrectKey,textbox.text,enter.keys,enter.rt,textbox_2.text,enter_2.keys,enter_2.rt,textbox_3.text,enter_3.keys,enter_3.rt,textbox_4.text,enter_4.keys,enter_4.rt,slider.response,slider.rt,key_resp_3.keys,key_resp_3.rt,slider_2.response,slider_2.rt,key_resp_4.keys,key_resp_4.rt
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,s,41.8371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,s,8.5876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,,,s,1,4.4564,0,0,0,0,1,Left,AttentionCheck,Check_Left.mp3,to compare,to trust,-0.3,0,0.3,0,s,,,,,,,,,,,,,,,,,,,,
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,,,s,1,6.496,0,1,1,1,1,takumina,Adj,004-takumina.mp3,skillful,early,-0.3,0,0.3,0,s,,,,,,,,,,,,,,,,,,,,
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,,,s,0,2.93,0,2,2,2,1,yume,Noun,062-yume.mp3,dream,long time ago,0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,,,s,1,2.5394,0,3,3,3,1,kuchi,Noun,067-kuchi.mp3,mouth,friend,-0.3,0,0.3,0,s,,,,,,,,,,,,,,,,,,,,
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,,,k,1,4.0334,0,4,4,4,1,betsuna,Adj,006-betsuna.mp3,another,sleepy,0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,,,k,1,7.6839,0,5,5,5,1,kotori,Mim,036-kotori.mp3,sound of something little falling or moving,"barely, scraping by",0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,,,k,1,5.348,0,6,6,6,1,funyafunya,Mim,050-funyafunya.mp3,"soft and limp; or mumbling, talking with food in mouth",sound of something being squashed,0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
